source,target,value
Ninjas,Sasuke,2
Inu,Naruto,2
Ino-Shika-Cho,Naruto,2
Ino-Shika-Cho,Shikamaru,2
Intense,Yagura,2
Inu,Jutsu,2
Inu,Sakura,2
Ino,Sign,2
Hanabi,Kiba,2
Injure,Lee,2
Ino,Kurenai,2
Ino,Neji,2
Bushy,Konohamaru,2
Bushy,Matsuri,2
Old,Sannin,2
Bushy,Rock,2
Neji,that,2
Bushy,Uchiha,2
Bushy-Brow,Naruto,2
Bushy-Brow's,Kakashi,2
Neji,Tunneling,2
Neji,fatso,2
Neji,me,2
Ninja,Sagi,2
Nine-Tailed,Tsunade,2
Ninja,Ran,2
Ninja,Rogue,2
Ninja,Sarutobi,2
Ninja,Sasame,2
Ninja,Sensei,2
Ninja,Todoroki,2
Ninja,Udon,2
Bushy-Brow's,Sharingan,2
Neji,Pervy,2
Neji,Proctor,2
Iruka,Kurenai,2
Guy,Leaf,2
Iruka,Kiba,2
Iruka,Obito,2
Iruka,Raijin,2
Ino,a,2
Ino,inu,2
Ino,saru,2
Bushy-Brow’s,Kekkei,2
Neji,Sharingan,2
Bushy-Brow's,Kekkei,2
Bushy-Brows,Gaara,2
Bushy-Brows,Gantetsu,2
Bushy-Brows,Todoroki,2
Byakugan,Gosunkugi,2
Natsuboshi,Natsuhiboshi,2
Byakugan,Ninja,2
Byakugan,Pervy,2
Ne,uma,2
Byakugan,Kujaku,2
Naruto,lno,2
Naruto,ls,2
Byakugan,Shinobi,2
Byakugan,Tsunade,2
Byakugan,Zaku,2
Naruto,as,2
Naruto,by,2
Naruto,him,2
Grandfather,Nawaki,2
Grandma,Zabuza,2
Gosunkugi,Torpedo,2
Gosunkugi,the,2
Grampa,Mommy,2
Grandfather,Naruto,2
Grandma,Lee,2
Guy,Might,2
Inu,Sasuke,2
Guy,Ichiraku,2
Guy,Intense,2
CHOJI,~FATSO,2
Byakugan,Unkai,2
Chakra,Kankuro,2
CHOJI,FATSO~,2
CHOJI,JIROBO,2
Cha,Kakashi,2
Naruto,Zu,2
Naruto,Third,2
Naruto,Tobei,2
Naruto,Tokichi,2
Naruto,Tonton,2
Chief,Jiraiya,2
Naruto,Tunneling,2
Naruto,Yuhi,2
Naruto,Ryuko,2
Chidori,Sharingan,2
Chidori,The,2
Izumo,Uchiha,2
Janin,Kikunojou,2
Isaribi,Sea,2
JIROBO,~FATSO,2
Jako,Ryudouin,2
Gosunkugi,Shino,2
Gosunkugi,The,2
Iruka,Udon,2
Chikara,Naruto,2
Chishima,Gaara,2
Chakra,Orochimaru,2
Naruto,Sage,2
Naruto,Sanchez,2
Naruto,Sansho,2
Naruto,Rogue,2
Naruto,Ole,2
Naruto,Owashi,2
Naruto,Owwee,2
Naruto,Pakkun,2
Naruto,Pervert,2
Cho,Han,2
Choji,Cricket,2
Naruto,Raijin,2
Naruto,Ramen,2
Naruto,Rasengen,2
Chidori,Lee,2
Chishima,Ninja,2
Chishima,Sand,2
Chishima,Sharingan,2
Chishima,The,2
Choji,Guy,2
Murakumo,Naruto,2
Jibachi,Kurobachi,2
Jibachi,Naruto,2
Gosa,the,2
Gosa,–,2
Gonta,Hokage,2
Grandpa,That,2
Grandpa,Tsunade,2
Grandpa,–,2
Isarirbi,Orochimaru,2
Choji,Leaf,2
Naruto,Old,2
Choji,Ino-Shika-Cho,2
Choji,Jiga,2
Choji,Jirobo,2
Moegi,Ninja,2
Moegi,–,2
Choji,Ruiga,2
Chunin,Genno,2
Chunin,Hanabi,2
Mom,Sasuke,2
Mom,Shikamaru,2
Monju,Ninja,2
Monju,Todoroki,2
Moso,Tenten,2
Moso,That,2
Mizura,Tsunade,2
Mizuki,Rasengan,2
Mizuki,Shadow,2
Choji,Vendetta,2
Mizura,Ninja,2
Mizura,Tenten,2
Choji,Shadow,2
Choji,Shun,2
Choji,fatso,2
Choji,lno,2
Choji,me,2
Choji,the,2
Might,Yagura,2
Mi,U,2
Mi,lnu,2
Jin,Mi,2
Jin,Saru,2
Jin,Sasuke,2
Jira-chan,Pervy,2
Genin,Shino,2
Genjutsu,Naruto,2
Genjutsu,Sakura,2
Genjutsu,Shikamaru,2
Genno,Tenten,2
Janin,and,2
Mi,ushi,2
Might,Naruto,2
Might,Ryudouin,2
Might,Shikamaru,2
Mizukage,Sharingan,2
Misogi,Shino,2
Chunin,Iruka,2
Chunin,Kakashi,2
Chunin,worthy,2
Chunin,Ninjas,2
Cricket,Lee,2
McCoy,Sagi,2
Chunin,Third,2
Jiraiya,Tyson,2
Jiraiya,Katsuyu,2
Jiraiya,Oli,2
Jiraiya,Shinobi,2
Jiraiya,The,2
Jirobo,Kakashi,2
Jirobo,Kiba,2
Gosunkugi,Hidden,2
Jiga,Yurinojou,2
Jigumo,Kamikiri,2
Chunins,Shinobi,2
Claw,Fang,2
Crow,Kankuro,2
Crow,Naruto,2
Lee,Shizune,2
Mai,Tsukiko,2
Lee,me,2
Lee,tim,2
Lens,Naruto,2
Lightning,the,2
Lion,Sasuke,2
Ma,Naruto,2
Crow,the,2
Manda,Naruto,2
Manda,Shizune,2
Lee,Mondai,2
Lee,Poccha,2
C’m,Naruto,2
Daimyo,Kazekage,2
Daimyo,Sasuke,2
Daimyo,Shijimi,2
Kurosuki,Tsunade,2
Dan,Orochimaru,2
Darudo,Naruto,2
Dojo,Rock,2
Dojo,Sensei,2
Genin,Kiba,2
Jirocho,ldate,2
Genin,Hanabi,2
Genin,Ninja,2
Genin,Sakura,2
Genin,Humph,2
Genin,Jonin,2
Genno,Ichiraku,2
Genin,Kurenai,2
Genin,Kurosuki,2
Genin,Leaf,2
Genma,Raido,2
Genma,Sasuke,2
Genma,Uchiha,2
Leaf,Shiin,2
Leaf,Shikamaru,2
L,Lee,2
L,Sansho,2
Leaf,Lee,2
Lee,Mizura,2
Leaf,Pervy,2
Leaf,Sakura,2
Kurenai,–,2
Leaf,Yakumo,2
Leaf,head,2
Leaves,Third,2
Kurenai,by,2
Kurenai,ls,2
Jonin,Shino,2
Jonin,the,2
Jirocho,Tsunade,2
Jutsu,Tatsu,2
Genin,Hiashi,2
Jirocho,Ninja,2
Jirocho,Senta,2
Jirocho,Shizune,2
Demon,Iruka,2
Dojo,Guy,2
Dojo,Intense,2
Die,Tsunade,2
Ebisu,Sasuke,2
Kuni,Ninja,2
Dodge,Hinata,2
Dodge,Zigzag,2
Ebisu,Hokage,2
Ebisu,Sakura,2
Kunoichi,Tsunade,2
Kunihisa,Ninja,2
Kurenai,Shikamaru,2
Kunoichi,Orochimaru,2
Kunoichi,Sasuke,2
Kunoichi,Sumaru,2
Kurenai,Raijin,2
Kunai,Sumaru,2
Kuni,Kunijiro,2
Dosu,Kin,2
Doubtless,Kabuto,2
Komei,Shuriken,2
Fang,Naruto,2
Fang,Shikamaru,2
Farewell,Gantetsu,2
Farewell,Naruto,2
Gatsu,Gosunkugi,2
Gatsu,Naruto,2
K-Kakashi,Kakashi,2
K-Kakashi,Sasuke,2
Gatô,Naruto,2
Gato,Sasuke,2
Gato,The,2
Gato,the,2
Jonin,Sensei,2
Gatsu,Sazanami,2
Jonin,Narutos,2
Jonin,Ninja,2
Fatty,Naruto,2
Kujaku,Shikamaru,2
Komei,That,2
Komei,The,2
Komei,Warrior,2
Komei,–,2
Kimimaro,Tayuya,2
Konohamaru,The,2
Konohamaru,Transform,2
Fuki,Menma,2
Enma,Hokage,2
Enma,Konohamaru,2
Kin,Zaku,2
FATSO~,~FATSO,2
Kisame,Pervy,2
Kisame,Sasuke,2
Kisame,Uchiha,2
Kisame,a,2
Ebisu,the,2
Enma,Transform,2
FATSO~,JIROBO,2
Fifth,Naruto,2
Kikunojou,Yurinoshin,2
K-Kurenai,Yakumo,2
KAKASHI,–,2
Kabuto,Kazekage,2
Kagero,a,2
Kabuto,Sarutobi,2
Kabuto,Shikamaru,2
Kagari,Naruto,2
Kagero,Leaf,2
Gato,Sakura,2
Jutsu,Uma,2
Jutsu,Ushi,2
Jutsu,by,2
Killer,a,2
Fatty,Shikamaru,2
Fifth,Guy,2
Fifth,Hokage,2
Fujin,Ton,2
Fifth,Sasuke,2
Fifth,Tsunade,2
First,Orochimaru,2
Flames,Todoroki,2
Fujin,Kurenai,2
Fujin,Sannin,2
Kiba,Tunneling,2
Kiba,Ninja,2
Kiba,lno,2
Kiba,Rock,2
Kiba,Sakon,2
Kiba,Shinemon,2
Kiba,That,2
Kidomaru,Tayuya,2
Kiba,on,2
Fuki,Ninja,2
Kazekage,Shukaku,2
Kazekage,the,2
Gantetsu,the,2
Kakashi,Konohamaru,2
Gamatatsu,Orochimaru,2
Gantesu,Ninja,2
K-Karashi,Sansho,2
K-Kurenai,Unkai,2
Gantetsu,Gon,2
Kabuto,Mark,2
Gekko,Sakura,2
Ki,Naruto,2
G,Gaara,2
Fuki,Ran,2
Futa,Tobei,2
Fuuma,Kagero,2
Gaara,Guy,2
Kankuro,Yoroi,2
Kanpachi,Rokusuke,2
Katsuyu,Naruto,2
G-Guy?,Lee,2
Gaara,Hatake,2
Gaara,Hoko,2
Gaara,Hyuga,2
Gaara,Ino,2
Gaara,Iron,2
Kakashi,Tsurugi,2
Kakashi,Yashamaru,2
Gaara,Jonin,2
Kankuro,Proctor,2
Kakashi,Tora,2
Kakashi,Sakon,2
Kakashi,Sannin,2
Gamakichi,Jiraiya,2
Gaara,Tora,2
Gaara,Tsunade,2
Gaara,U,2
Gaara,lnu,2
Gamabunta,the,2
Kages,Orochimaru,2
Gaara,Pervy,2
Kankuro,Naruto,2
Kankuro,Neji,2
Gaara,Lightning,2
Gaara,Lotus,2
Gaara,Mi,2
Kakashi,Owashi,2
Gaara,Shizune,2
Gaara,Suiko,2
Kakashi,Leaf,2
Kakashi,Nine-Tailed,2
Agari,Ichiraku,2
Tsunade,this,2
Agari,Akamaru,2
Abate,Sensei,2
A,Naruto,2
A,Sakura,2
Wagarashi,Wasabi,2
U,lnu,2
Uchiha,on,2
Uchiha,that,2
-Gaara,Gaara,2
A,Gekko,2
Uma,saru,2
Uma,uma,2
-Lord,Natsuhiboshi,2
-Lord,Neji,2
Warrior,the,2
Yagura,this,2
that,the,2
Agira,Sakura,2
-Lord,Akahoshi,2
Tsunade,inu,1
Tsuzumi,the,1
A,Sound,1
-Gaara,Akamaru,1
-Lord,Hokuto,1
-Lord,Naruto,1
-Lord,Natsuhi,1
Yagura,tim,1
Yagura,–,1
star,the,1
Uma,the,1
Unkai,Yuhi,1
Ushi,hitsuji,1
Ushi,uma,1
Ushi,ushi,1
Tyson,head,1
Tyson,the,1
Uchiha,a,1
Ablaze,Boulder,1
A,Iruka,1
A,Kabuto,1
A,Kinuta,1
A,Konohamaru,1
A,Sensei,1
A,Gamatatsu,1
Agari,Kiba,1
Hinata,branch,1
Hinata,by,1
Hokage,Itachi,1
Hokage,Izumo,1
Hokage,K-Kakashi,1
The,my,1
The,star,1
Akahoshi,Hokage,1
Tsurugi,Yoroi,1
A,Anko,1
Hinatas,Kiba,1
Hitode,Itachi,1
Hitsuji,Leaf,1
Hokage,Kages,1
Hokage,Kamizuru,1
Hinata,Unkai,1
The,Tsuzumi,1
The,Uchiha,1
The,Yurinojou,1
The,Yurinoshin,1
Akagi,Bunzo,1
Akagi,Hokage,1
Akagi,Kakashi,1
Tsurucho,the,1
Those,Toki,1
Those,the,1
Toad,lsaribi,1
Toad,that,1
Todoroki,Tsuzumi,1
Todoroki,the,1
Toki,in,1
Tonton,the,1
Gaara's,Lee,1
Kakashi,Rasengan,1
Kakashi,Roger,1
Kakashi,Saru,1
Kakashi,Sarutobi,1
Kankuro,Orochimaru,1
Gamakichi,Kabuto,1
Gamakichi,Moso,1
Gama,Toad,1
Gamabunta,Temari,1
Gamabunta,Toad,1
Gamabunta,Tyson,1
Gamakichi,Gamatatsu,1
Kakashi,Shikaku,1
Gaara,Vendetta,1
Gaara,on,1
Kagero,the,1
Kages,Kakashi,1
Kages,Kazekage,1
Kages,Sarutobi,1
Kages,Sasuke,1
Kagetsu,Tobei,1
Kakashi,Kazekage,1
Gama,Gamabunta,1
Gaara,Moso,1
Gaara,Ninja,1
Kakashi,Yoroi,1
Kakashi,Zaku,1
Kamikiri,Leaf,1
Kankuro,Kunoichi,1
Gamatatsu,Katsuyu,1
Gamatatsu,Manda,1
Fukusuke,Oli,1
Fukusuke,ldate,1
Fuuma,Sasuke,1
Fuuma,a,1
G,Orochimaru,1
Fuki,Rogue,1
Fuku,Naruto,1
Fuku,Pervy,1
GAI,ZABUSA,1
GAI,–,1
Kankuro,the,1
Kanpachi,Karashi,1
Kanpachi,The,1
Karashi,L,1
Karashi,Lightning,1
Katsu,Shikamaru,1
Kazekage,Raido,1
Kazekage,Shikamaru,1
Gaara,Ibiki,1
Gaara,Iruka,1
Gaara,Jin,1
Katsuyu,Sannin,1
Katsuyu,Shizune,1
Katsuyu,Tamaya,1
Gamakichi,Sagi,1
Kakashi,Shirker,1
Kakashi,Tori,1
Gaara,Kabuki,1
Gaara,Kabuto,1
Gaara,Komei,1
Gaara,Konohamaru,1
Kayo,Tsunade,1
Gantesu,Rock,1
Gantesu,Sakura,1
Kakashi,Kidomaru,1
Kakashi,Kin,1
Kakashi,Komei,1
Gamakichi,The,1
Gamakichi,the,1
Gamatatsu,Jiraiya,1
Gantetsu,Rock,1
Gantetsu,Roger,1
Gantetsu,Shinobi,1
Gantetsu,Tsuzumi,1
Gamatatsu,The,1
Gamatatsu,Tsunade,1
Gantesu,Gantetsu,1
Gantesu,Naruto,1
Kiba,Lion,1
Kabuto,Nawaki,1
Gatô,Tazuna,1
Gatô,The,1
Gatô,Zabuza,1
Gekko,Kabuto,1
K-Karashi,Lee,1
Gantesu,Shinobi,1
Fukusuke,Humph,1
Fukusuke,Morino,1
Fukusuke,Naruto,1
Fukusuke,Ninja,1
Ki,Sagi,1
Ki,Zu,1
Kiba,Kimimaro,1
Kiba,Leaf,1
G-Guy,Naruto,1
G-Guy,Tsunade,1
G-Guy?,Guy,1
Kiba,Orochimaru,1
Kiba,Proctor,1
Kiba,Rasengan,1
Fujin,Hokage,1
Fujin,Iruka,1
Kiba,a,1
Kiba,as,1
Kiba,head,1
Kiba,him,1
Kiba,Satomi,1
Kiba,Sensei,1
Kiba,The,1
G-Guy,Lee,1
Kiba,tim,1
Kidomaru,Kimimaro,1
Kidomaru,Rasengan,1
Kidomaru,Sakura,1
Kikunojou,Shadow,1
Kiba,Unkai,1
Kiba,Yagura,1
Kiba,Yuhi,1
Fuki,Neji,1
Kazekage,on,1
Kekkei,Naruto,1
Kekkei,Sakon,1
Kekkei,Sakura,1
Kekkei,The,1
Ki,Ma,1
Kiba,me,1
Kabuto,Temari,1
Kabuto,This,1
Kabuki,Suiko,1
Kabuto,Kages,1
Kabuto,Kankuro,1
Fifth,Ninja,1
Kikusuke,Momiji,1
Kikusuke,Ninja,1
Kage,Kakashi,1
Kage,Sumaru,1
Kagero,Pervy,1
Kagero,Rasengan,1
Kabuto,Nine-Tailed,1
Kabuto,Oli,1
Kabuto,Sharingan,1
Kabuto,Shino,1
Fifth,Jutsu,1
Gato,Mizukage,1
Jutsu,Tora,1
Jutsu,U,1
Jutsu,Zabuza,1
Jutsu,lnu,1
Jutsus,Kakashi,1
Kagari,Sasuke,1
Fujin,Naruto,1
Fujin,The,1
Fifth,Raido,1
Fifth,Rock,1
Fifth,the,1
First,Sarutobi,1
First,Shinobi,1
Fifth,Genma,1
Konohamaru,Tonton,1
Konohamaru,Zabuza,1
Kujaku,Lee,1
Kujaku,Ninja,1
Kujaku,Shino,1
Konohamaru,Orochimaru,1
Konohamaru,Saru,1
Konohamaru,Temari,1
Kisame,Kurosuki,1
Kisame,Lee,1
Killer,–,1
Kimimaro,Neji,1
Kimimaro,Ninja,1
Kimimaro,Pervy,1
Kimimaro,Shikamaru,1
Kimimaro,Zabuza,1
FATSO~,Sakura,1
Fang,Gosa,1
Ebisu,Transform,1
Kin,Lee,1
Kin,–,1
Kinuta,Naruto,1
Kinuta,Orochimaru,1
Kinuta,Sasuke,1
Kikusuke,Ruiga,1
Kikusuke,The,1
Kikusuke,Tsunade,1
Killer,Lee,1
Killer,Temari,1
Enma,Saru,1
Enma,Shadow,1
FATSO~,Naruto,1
K-Karashi,L,1
Gato,Hokage,1
Komei,Tenten,1
Fang,Kiba,1
Fang,Shinemon,1
Farewell,Rasengan,1
Farewell,Shura,1
Dosu,Shikamaru,1
Gatô,Mizukage,1
Gatô,Mommy,1
Gatô,Sharingan,1
Gato,Sharingan,1
Gato,Uchiha,1
Gato,lnari,1
K-Kakashi,Kekkei,1
K-Karashi,Karashi,1
Genin,Sharingan,1
Jonin,Konohamaru,1
Jonin,Murakumo,1
Jonin,Sakura,1
Jonin,Sarutobi,1
Gatô,Giichi,1
Gatô,Grampa,1
Gatô,Inari,1
Konohamaru,That,1
Fatso,Ninja,1
Fatty,Ino,1
Fatty,Iruka,1
Fatty,Sasuke,1
Koharu,Orochimaru,1
Jonin,jonin,1
Jonin,lsaribi,1
Kujaku,–,1
Kunai,Proctor,1
Kunai,Sasuke,1
Kurama,Kurenai,1
Kurama,Shinobi,1
Kurenai,Leaf,1
Kurenai,Neji,1
Kurenai,Rock,1
Kung,Ryudoin,1
Dojo,Shikamaru,1
"Dong
",Mai,1
Kujaku,Shisou,1
Kujaku,Tenten,1
Kujaku,The,1
Kujaku,Yotaka,1
Kujaku,the,1
Dosu,Kazekage,1
Dosu,Naruto,1
Dosu,Ole,1
Dosu,Orochimaru,1
Dosu,Sanchez,1
Kunai,Zaku,1
Kung,Lee,1
Kung,Naruto,1
Dosu,Tyson,1
Doubtless,Ibiki,1
Doubtless,Lee,1
Dozaemon,Naruto,1
Duck,Tsunade,1
Duck,the,1
"Dong
",Shino,1
Dosu,Kakashi,1
Ding,Ding-dong,1
Ding,Ding-dong-ding,1
Ding,"Dong
",1
Kurobachi,Shino,1
Kuromaru,Shino,1
Dawn,Sakura,1
Dawn,Sasuke,1
Demon,Kakashi,1
Ding,Shino,1
Ding-dong,Ding-dong-ding,1
Ding-dong,"Dong
",1
Ding-dong-ding,"Dong
",1
Die,Gaara,1
Die,Kakashi,1
Die,Naruto,1
Die,Pervy,1
Kunihisa,Shizune,1
Kunihisa,–,1
Kunijiro,Shizune,1
Kunijiro,Tsunade,1
Ebisu,Kakashi,1
Ebisu,Mizuki,1
Ebisu,Orochimaru,1
Ebisu,Pervy,1
Kurenai,Shinobi,1
Kunoichi,Natsuhi,1
Kunoichi,Neji,1
Kunoichi,Sannin,1
Kunoichi,Transform,1
Kuni,–,1
Kunihisa,Kunijiro,1
Kunihisa,Papa,1
Demon,Sasuke,1
Demon,Zabuza,1
Kurenai,Uchiha,1
Kurenai,Uroko,1
Kurenai,a,1
Kurenai,d,1
Kurenai,that,1
Leaf,Shinobi,1
Jutsu,Mi,1
Jutsu,Mizuki,1
Jutsu,Neji,1
Jonin,Shinobi,1
Jonin,The,1
Jonin,Uchiha,1
Jonin,Zabuza,1
Jonin,head,1
Jutsu,Sensei,1
Jutsu,Shinobi,1
Jutsu,Tazuna,1
Jutsu,Tenten,1
Junko,Kakashi,1
Junko,Naruto,1
Junko,Sakura,1
Junko,Sasuke,1
Genin,Hizashi,1
Jirocho,Ryuko,1
Jirocho,Sakura,1
Jirocho,Shinobi,1
Jirocho,Uzumaki,1
Jutsu,Nine-Tailed,1
Jutsu,Raido,1
Jutsu,Rock,1
Jirocho,the,1
Jirocho,–,1
Gekko,Sasuke,1
Gekko,Sound,1
Leaf,Menma,1
Leaf,Mi,1
Dojo,Nanafushi,1
Dojo,Sakura,1
Genin,Kunihisa,1
Genin,Kunoichi,1
Genin,Mark,1
Genin,Iruka,1
Genin,Jiraiya,1
Genin,Katsuyu,1
Genin,Kekkei,1
Genin,Konohamaru,1
Leader,Naruto,1
Leaf,Mark,1
Jiraiya,Lee,1
Jiraiya,Ole,1
Genma,Kazekage,1
Genma,Rock,1
Gennin,Genno,1
Gennin,Tsunade,1
Leaf,Tori,1
Leaf,Uma,1
Lee,Lightning,1
Leaf,Mizuki,1
Leaf,Ne,1
Leaf,Neji,1
Leaf,Sarutobi,1
Kyuroku,Naruto,1
Lee,Sarutobi,1
Lee,Sasu,1
Mark,Ninja,1
Mark,Sound,1
Matsuri,Seimei,1
Matsuri,Shikamaru,1
Matsuri,the,1
McCoy,Neji,1
Crystal,Sasuke,1
Cursed,Shuriken,1
Cursed,That,1
C’m,Orochimaru,1
C’m,Pervy,1
Lee,Roger,1
Lee,Rokkaku,1
Lee,Ryudoin,1
Lee,Shino,1
C’m,Shino,1
Daimyo,Hyuga,1
Daimyo,Kakashi,1
Daimyo,Shikamaru,1
Dan,Kabuto,1
Crystal,Kakashi,1
Crystal,Sakura,1
Kurosuki,Sakura,1
Kurosuki,Tenten,1
Kurosuki,Zabuza,1
Dan,Naruto,1
Dan,Pervy,1
Darudo,Kunihisa,1
Daruto,Kunihisa,1
Dawn,Mubi,1
Cricket,Shino,1
Cricket,Yagura,1
Cricket,tim,1
Crow,Iron,1
Crow,Jonin,1
Crow,Kakashi,1
Chunins,worthy,1
Corpses,Ninjas,1
Crow,Konohamaru,1
Crow,Lee,1
Crow,Sasuke,1
Crow,that,1
Menma,Shizune,1
Mi,Sakura,1
Cricket,Orochimaru,1
Cricket,Shikamaru,1
Lightning,Ninja,1
Lee,Shura,1
Lee,Tamaya,1
Lee,Tazuna,1
Lee,That,1
Lee,Tsunada,1
Lee,a,1
Lee,lt,1
Lightning,Sansho,1
Lightning,head,1
Ma,Sagi,1
Ma,Zu,1
Lee,that,1
Lee,the,1
Lightning,Naruto,1
Lightning,Neji,1
Cricket,Neji,1
Menma,Rasengan,1
Menma,Sakura,1
Chunin,Uchiha,1
Chunin,head,1
Chunin,the,1
Chunin,Sarutobi,1
Chunin,Sensei,1
Jiraiya,Sanchez,1
Jiraiya,Shameless,1
Jiraiya,–,1
Genno,Ino,1
Genno,Kakashi,1
Genno,Kiba,1
Jira-chan,a,1
Jiraiya,Kakashi,1
Jin,Kakashi,1
Jirobo,Kimimaro,1
Jirobo,Naruto,1
Jirobo,Ninja,1
Jirobo,Rasengan,1
Jirobo,Sakura,1
Jirochi,Naruto,1
Jiraiya,Rogue,1
Cricket,Hinata,1
Cricket,Kiba,1
Jin,Ushi,1
Jira-chan,Naruto,1
Jibachi,Shino,1
Jibachi,Suzumebachi,1
Jigumo,Leaf,1
Jin,Jutsu,1
Genin,Tamaya,1
Genin,Uchiha,1
Genins,Hokage,1
Genins,Kakashi,1
Genjutsu,Humph,1
Genjutsu,Iron,1
Jin,Naruto,1
Jin,Sensei,1
Jelly,Jirocho,1
Jelly,Naruto,1
Jelly,Ninja,1
Genjutsu,Owwee,1
Genjutsu,Sasuke,1
Genma,Guy,1
Genma,Hokage,1
Genma,Jutsu,1
Chunin,Murakumo,1
Might,Rokkaku,1
Might,Tsunade,1
Gensho,Guy,1
Janin,Ruiga,1
Janin,The,1
Jeez,Naruto,1
Jeez,Sagi,1
Chunin,Tazuna,1
Chunin,Temari,1
Missus,Naruto,1
Mizukage,Zabuza,1
Chunin,Ibiki,1
Chunin,Kabuto,1
